source,target,group
Military Forces of Ethiopia (1991-),Hamar Ethnic Militia (Ethiopia),2
Ablek Ad'ali Clan Militia (Ethiopia),Sidiha Bura Clan Militia (Ethiopia),2
Police Forces of Ethiopia (1991-) Liyu Division,Unidentified Armed Group (Somalia),1
Military Forces of Ethiopia (1991-),Surma Ethnic Militia (Ethiopia),1
Police Forces of Ethiopia (1991-),Hamar Ethnic Militia (Ethiopia),1
Prison Guards (Ethiopia),Hamar Ethnic Militia (Ethiopia),1
OLF: Oromo Liberation Front,Military Forces of Ethiopia (1991-),1
Murle Ethnic Militia (South Sudan),Civilians (Ethiopia),4
Military Forces of Ethiopia (1991-),Benishangul Peoples Liberation Movement,1
Police Forces of Ethiopia (1991-),Civilians (Ethiopia),5
Military Forces of Ethiopia (1991-),Unidentified Armed Group (Ethiopia),9
Police Forces of Ethiopia (1991-),Protesters (Ethiopia),3
Police Forces of Ethiopia (1991-) Liyu Division,Oromo Ethnic Militia (Ethiopia),1
Police Forces of Ethiopia (1991-) Liyu Division,Police Forces of Ethiopia (1991-),4
Unidentified Armed Group (Ethiopia),Military Forces of Ethiopia (1991-),3
Police Forces of Ethiopia (1991-),Police Forces of Ethiopia (1991-) Liyu Division,3
Police Forces of Ethiopia (1991-) Liyu Division,Civilians (Ethiopia),6
Unidentified Armed Group (Ethiopia),Government of Ethiopia (1991-),14
Military Forces of Ethiopia (1991-),AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,8
Military Forces of Ethiopia (1991-),Protesters (Ethiopia),9
Afar Ethnic Militia (Ethiopia),Oromo Ethnic Militia (Ethiopia),5
Protesters (Ethiopia),Police Forces of Ethiopia (1991-),4
Tigray Ethnic Militia (Ethiopia),Amhara Ethnic Militia (Ethiopia),5
Military Forces of Ethiopia (1991-),ONLA: Ogaden National Liberation Army,6
AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,Military Forces of Ethiopia (1991-),4
Unidentified Armed Group (Ethiopia),Civilians (International),11
Ablek Ad'ali Clan Militia (Ethiopia),Military Forces of Ethiopia (1991-),8
Police Forces of Ethiopia (1991-),Military Forces of Ethiopia (1991-),2
Afar Ethnic Militia (Ethiopia),Amhara Ethnic Militia (Ethiopia),1
AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,Civilians (Ethiopia),1
Government of Ethiopia (1991-),Civilians (Ethiopia),5
Mutiny of Military Forces of Ethiopia (1991-),Military Forces of Ethiopia (1991-),1
ONLA: Ogaden National Liberation Army,Military Forces of Ethiopia (1991-),9
Qeerroo Youth Militia,Civilians (Ethiopia),1
AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,Prison Guards (Ethiopia),2
AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,Police Forces of Ethiopia (1991-),1
Rioters (Ethiopia),Prison Guards (Ethiopia),5
Habro Communal Militia (Ethiopia),Chifra Communal Militia (Ethiopia),3
Rioters (Ethiopia),Police Forces of Ethiopia (1991-),7
Protesters (Ethiopia),Military Forces of Ethiopia (1991-),2
Tigray Peoples Revolutionary Liberation Front,Military Forces of Eritrea (1993-),5
Oromo Ethnic Militia (Ethiopia),Amaro Ethnic Militia (Ethiopia),3
Amaro Ethnic Militia (Ethiopia),Civilians (Ethiopia),1
Protesters (Gabon),Police Forces of Gabon (2009-),6
Police Forces of Gabon (2009-),Civilians (Gabon),3
Rioters (Gabon),Police Forces of Gabon (2009-),1
Military Forces of Gambia (1996-) National Intelligence Agency,Civilians (Gambia),1
Military Forces of Gambia (1996-) Republican Guard,Military Forces of Gambia (1996-),1
Government of Gambia (1996-),Government of Gambia (2017-),1
ECOWAS: Economic Community Of West African States,Military Forces of Gambia (1996-) Republican Guard,1
Rioters (Gambia),Rioters (Gambia),1
Police Forces of Gambia (2017-),Former Military Forces of Gambia (1996-2017) National Intelligence Agency,1
Rioters (Gambia),Civilians (Gambia),1
Unidentified Armed Group (Gambia),Civilians (Gambia),1
Rioters (Gambia),Police Forces of Gambia (2017-),2
Protesters (Gambia),Police Forces of Gambia (2017-),3
Military Forces of Gambia (2017-),ECOMIG: Economic Community of West African States Mission in Gambia (2017-),2
Rioters (Gambia),ECOMIG: Economic Community of West African States Mission in Gambia (2017-),2
Military Forces of Gambia (2017-),Mutiny of Military Forces of Gambia (2017-),4
Police Forces of Gambia (2017-),Civilians (Gambia),1
Protesters (Ghana),Police Forces of Ghana (2017-),1
Bimbilla Communal Militia (Ghana),Bimbilla Communal Militia (Ghana),1
Rioters (Ghana),Police Forces of Ghana (2017-),1
Fulani Ethnic Militia (Ghana),Civilians (Ghana),1
Police Forces of Ghana (2017-),Rioters (Ghana),1
Fulani Ethnic Militia (Ghana),Mepemasem Communal Militia (Ghana),1
Rioters (Ghana),Rioters (Ghana),1
Unidentified Armed Group (Ghana),Vigilante Militia (Ghana),1
Unidentified Ethnic Militia (Ghana),Civilians (Ghana),1
Gomoa Communal Militia (Ghana),Civilians (Ghana),1
Rioters (Ghana),Civilians (Ghana),3
Miotso Communal Militia (Ghana),Police Forces of Ghana (2017-),2
Unidentified Clan Militia (Ghana),Unidentified Clan Militia (Ghana),3
Alavanyo Ethnic Militia (Ghana),Civilians (Ghana),1
Gonja Ethnic Militia (Ghana),Civilians (Ghana),1
Bimoba Ethnic Militia (Ghana),Civilians (Uganda),1
Rioters (Ghana),Police Forces of Ghana (2016-),1
Unidentified Armed Group (Ghana),Civilians (Ghana),2
Vigilante Militia (Ghana),Civilians (Ghana),1
Nonge-Buuri Clan Militia (Ghana),Alafia Abilba Clan Militia (Ghana),1
Police Forces of Ghana (2009-),Civilians (Ghana),1
Police Forces of Ghana (2009-),Rioters (Ghana),1
Nkonya Ethnic Militia (Ghana),Civilians (Ghana),2
Kandahar Boys,Civilians (Ghana),2
Police Forces of Ghana (2016-),Protesters (Ghana),3
Ada Communal Militia (Ghana),Civilians (Ghana),1
Police Forces of Guinea (2010-),Civilians (Guinea),2
Military Forces of Guinea (2010-) Presidential Security Unit,Civilians (Guinea),1
Military Forces of Guinea (2010-) Gendarmerie,Civilians (Guinea),1
Vigilante Militia (Guinea),Civilians (Guinea),1
Rioters (Guinea),Police Forces of Guinea (2010-),1
Rioters (Guinea),Military Forces of Guinea (2010-) Gendarmerie,2
Rioters (Guinea),Rioters (Guinea),5
Bankoumana Communal Militia (Guinea),Bankoumana Communal Militia (Guinea),9
Koundianakoro Communal Militia (Guinea),Balandougouba Communal Militia (Guinea),1
Unidentified Armed Group (Guinea),Civilians (Guinea),1
Protesters (Guinea),Police Forces of Guinea (2010-),3
Police Forces of Guinea-Bissau (2014-),Civilians (Guinea-Bissau),1
Protesters (Guinea-Bissau),Police Forces of Guinea-Bissau (2014-),1
Unidentified Armed Group (Guinea-Bissau),Civilians (Guinea-Bissau),1
Government of Ivory Coast (2011-),Military Forces of Ivory Coast (2011-),2
Protesters (Ivory Coast),Mutiny of Military Forces of Ivory Coast (2011-),1
Malinke Ethnic Militia (Ivory Coast),Abbey Ethnic Militia (Ivory Coast),1
Rioters (Ivory Coast),Private Security Forces (Ivory Coast),1
Mutiny of Military Forces of Ivory Coast (2011-),Civilians (Ivory Coast),1
Rioters (Ivory Coast),Military Forces of Ivory Coast (2011-),1
Mutiny of Military Forces of Ivory Coast (2011-),Military Forces of Ivory Coast (2011-) Presidential Security Unit,1
Rioters (Ivory Coast),Civilians (Ivory Coast),2
Protesters (Ivory Coast),Police Forces of Ivory Coast (2011-),1
Rioters (Ivory Coast),Police Forces of Ivory Coast (2011-),1
Unidentified Armed Group (Ivory Coast),Military Forces of Ivory Coast (2011-) Gendarmerie,2
Police Forces of Ivory Coast (2011-),Unidentified Ethnic Militia (Ivory Coast),1
Unidentified Armed Group (Ivory Coast),Police Forces of Ivory Coast (2011-),2
Mutiny of Military Forces of Ivory Coast (2011-),FNCI: New Forces of Ivory Coast,2
Police Forces of Ivory Coast (2011-) Gendarmerie,Civilians (Ivory Coast),3
Mutiny of Military Forces of Ivory Coast (2011-),Police Forces of Ivory Coast (2011-),2
Al Shabaab,Civilians (Kenya),3
Kipsigi Ethnic Militia (Kenya),Maasai Ethnic Militia (Kenya),2
Rioters (Kenya),Police Forces of Kenya (2013-),1
Vigilante Militia (Kenya),Civilians (Kenya),2
Unidentified Communal Militia (Kenya),Unidentified Communal Militia (Kenya),3
Police Forces of Kenya (2013-),Al Shabaab,1
Rioters (Kenya),Civilians (Kenya),2
Police Forces of Kenya (2013-),Unidentified Communal Militia (Kenya),2
Pokot Ethnic Militia (Kenya),Marakwet Ethnic Militia (Kenya),8
Unidentified Armed Group (Kenya),Civilians (Kenya),1
Military Forces of Kenya (2013-),Al Shabaab,5
Rioters (Kenya),Rioters (Kenya),1
Tugen-Ilchamus Ethnic Militia (Kenya),Pokot Ethnic Militia (Kenya),1
Pokot Ethnic Militia (Kenya),Civilians (International),2
Police Forces of Kenya (2013-),Pokot Ethnic Militia (Kenya),1
Auliyan Ethnic Militia (Kenya),Civilians (Kenya),5
Police Forces of Kenya (2013-),Auliyan Ethnic Militia (Kenya),2
Pokot Ethnic Militia (Kenya),Civilians (Kenya),3
Tugen-Ilchamus Ethnic Militia (Kenya),Civilians (Kenya),1
Police Forces of Kenya (2013-),Tugen-Ilchamus Ethnic Militia (Kenya),1
Turkana Ethnic Militia (Kenya),Samburu Ethnic Militia (Kenya),5
Borana Ethnic Militia (Kenya),Samburu Ethnic Militia (Kenya),1
Police Forces of Kenya (2013-),Civilians (Kenya),3
Ogaden-Absame-Bah Geri Sub-Clan Militia (Somalia),Civilians (Kenya),4
Unidentified Communal Militia (Kenya),Civilians (Kenya),2
Gabra Ethnic Militia (Kenya),Civilians (Kenya),4
Unidentified Communal Militia (Kenya),Police Forces of Kenya (2013-),12
Protesters (Kenya),Police Forces of Kenya (2013-),5
Moran Ethnic Militia (Kenya),Civilians (Kenya),3
Turkana Ethnic Militia (Kenya),Civilians (Kenya),3
Military Forces of Kenya (2013-),Civilians (Kenya),2
Military Forces of Kenya (2013-),Unidentified Armed Group (Kenya),1
Protesters (Kenya),Military Forces of Kenya (2013-),1
Al Shabaab,Police Forces of Kenya (2013-),3
Rioters (Kenya),Protesters (Kenya),18
Isiolo Communal Militia (Kenya),Marsabit Communal Militia (Kenya),3
Moran Ethnic Militia (Kenya),Police Forces of Kenya (2013-),1
Police Forces of Kenya (2013-),Isiolo Communal Militia (Kenya),11
Police Forces of Kenya (2013-),Baringo East Communal Militia (Kenya),2
Al Shabaab,Military Forces of Kenya (2013-),1
Laikipia Communal Militia (Kenya),Police Forces of Kenya (2013-),2
Police Forces of Kenya (2013-),Police Forces of Kenya (2013-),7
Rioters (Kenya),Prison Guards (Kenya),11
Unidentified Ethnic Militia (Kenya),Civilians (Kenya),13
Tugen Ethnic Militia (Kenya),Pokot Ethnic Militia (Kenya),1
Pokot Ethnic Militia (Kenya),Police Forces of Kenya (2013-),2
Rioters (Kenya),Private Security Forces (Kenya),5
Police Forces of Kenya (1978-2002),Civilians (Kenya),4
Rioters (Kenya),Private Security Forces (Kenya); Jubilee Coalition,1
Unidentified Armed Group (Kenya,Police Forces of Kenya (1978-2002),2
Unidentified Armed Group (Lesotho),Civilians (Lesotho),1
Police Forces of Liberia (2006-),Civilians (Liberia),1
Rioters (Liberia),Police Forces of Liberia (2006-),3
Vigilante Militia (Liberia),Civilians (Liberia),1
Protesters (Liberia),Police Forces of Liberia (2006-),2
Mano Ethnic Militia (Liberia),Police Forces of Liberia (2006-),1
Mandingo Ethnic Militia (Liberia),Mano Ethnic Militia (Liberia),2
Krahn Ethnic Militia (Liberia),Dan Ethnic Militia (Liberia),1
Rioters (Liberia),Rioters (Liberia),4
Rioters (Liberia),Prison Guards (Liberia),1
Military Forces of Liberia (2006-),Police Forces of Liberia (2006-),2
Rioters (Liberia),Civilians (Liberia),1
Military Forces of Liberia (2006-),Civilians (Liberia),2
Unidentified Armed Group (Libya),Civilians (International),2
Prison Guards (Libya),Unidentified Armed Group (Libya),1
Islamic State (Tripoli),Unidentified Armed Group (Libya),1
Islamic State (Tripoli),Military Forces of the United States,1
Islamic State (Tripoli),Ali Ibn Abi Talib Brigade,1
Islamic State (Fezzan),Qadhadhfa Ethnic Militia (Libya),1
Military Forces of Libya (2016-) Government of National Accord,Islamic State (Tripoli),1
Islamic State (Tripoli),Civilians (Libya),1
Military Forces of Libya (2014-) Haftar Faction,Brigades for the Defence of Benghazi,12
Military Forces of Libya (2014-) Haftar Faction,Ansar al-Sharia,1
Military Forces of Libya (2014-) Haftar Faction,Misratah Communal Militia (Libya),1
Military Forces of Libya (2014-) Haftar Faction,Civilians (Libya),3
Islamic State (Tripoli),Muslim Militia (Libya),1
Military Forces of Libya (2014-) Haftar Faction,Islamic State (Cyrenaica Province),2
Unidentified Armed Group (Libya),Civilians (Egypt),1
Military Forces of Libya (2014-) Haftar Faction,BRSC: Shura Council of Benghazi Revolutionaries,2
Unidentified Armed Group (Libya),Vigilante Militia (Libya),1
Military Forces of Libya (2014-) Haftar Faction - Saiqa Forces,Ansar al-Sharia,2
Military Forces of Libya (2014-) Haftar Faction,Shura Council of Darnah Mujahidin,4
Military Forces of Libya (2014-) Haftar Faction,Abu Salim Martyrs Brigade,7
Special Deterrence Forces,Unidentified Armed Group (Libya),1
Unidentified Armed Group (Libya),Civilians (Libya),4
Ansar al-Sharia,Civilians (Libya),8
Al-Kanni Brigade,Civilians (Libya),4
Al-Kanni Brigade,Tarhouna Communal Militia (Libya),1
Tarhouna Communal Militia (Libya),Unidentified Armed Group (Libya),2
Wershefana Communal Militia (Libya),Janzur Knights Brigade,8
Islamic State (Cyrenaica Province),Civilians (Libya),7
Abu Salim Brigade,Salah al-Burki Brigade,4
Tripoli Revolutionaries Brigade,Sharikan Militia,8
Unidentified Armed Group (Libya),Unidentified Armed Group (Libya),5
Al-Barasa Ethnic Militia (Libya),Civilians (Libya),2
Military Forces of Libya (2014-) Haftar Faction - Saiqa Forces,Unidentified Armed Group (Libya),1
Libya National Guard,Military Forces of Libya (2016-) Government of National Accord,1
Misratah Communal Militia (Libya),Zliten Communal Militia (Libya),4
Tariq Ibn Ziyad Brigade,Islamic State (Cyrenaica Province),2
Military Forces of Libya (2014-) Haftar Faction,Unidentified Armed Group (Libya),1
Salah al-Burki Brigade,Abu Salim Brigade,1
Abu Salim Brigade,Civilians (Libya),6
Prison Guards (Libya),Rioters (Libya),3
Military Forces of Libya (2014-) Haftar Faction - Saiqa Forces,BRSC: Shura Council of Benghazi Revolutionaries,3
Unidentified Armed Group (Libya),Civilians (IDPs/Refugees),20
Misratah Communal Militia (Libya),Civilians (Libya),13
Unidentified Communal Militia (Libya),Militia (Ibrahim Jadran),2
Tripoli Revolutionaries Brigade,Libyan National Guards,6
Unidentified Communal Militia (Libya),Libyan National Guards,2
Tripoli Revolutionaries Brigade,Unidentified Armed Group (Libya),16
Protesters (Libya),Unidentified Armed Group (Libya),3
Military Forces of Libya (2014-) Haftar Faction - Saiqa Forces,Civilians (Libya),3
Unidentified Armed Group (Libya),Civilians (Sudan),6
Protesters (Libya),Protesters (Libya),5
Unidentified Armed Group (Libya),Private Security Forces (Libya),8
Misratah Communal Militia (Libya),Military Forces of Libya (2014-) Haftar Faction,7
Omar Mukhtar Brigade,Unidentified Armed Group (Libya),11
Unidentified Armed Group (Libya),Civilians (Algeria),1
Bab al-Tajoura Brigade,Civilians (Libya),1
Al-Kanni Brigade,Basbusa Clan Militia (Libya),10
Tabu Ethnic Militia (Libya),Awlad Suleiman Ethnic Militia (Libya),4
Unidentified Armed Group (Egypt),Tabu Ethnic Militia (Libya),1
Arouba Brigade,Islamic State (Tripoli),1
Military Forces of Libya (2016-) Government of National Accord,Unidentified Armed Group (International),3
BRSC: Shura Council of Benghazi Revolutionaries,Civilians (Libya),3
Unidentified Armed Group (Libya),Military Forces of Libya (2014-) Haftar Faction,3
Awlad Suleiman Ethnic Militia (Libya),Mahamid Ethnic Militia (Libya),1
Islamic State (Tripoli),Misratah Communal Militia (Libya),1
